מטבח כשר,משופצת,"ממ""ד",דלתות פנדור,מזגן תדיראן,ריהוט,גישה לנכים,מיזוג,מעלית,מחסן,סורגים,חניות,מרפסות,קומות בבנין,מצב הנכס,סוג נכס,עיר,שכונה,תיווך,ציון,חדרים,קומה,"מ""ר",מחיר
0,1,0,1,1,0,0,1,1,1,1,1,1,6,משופץ,גג/פנטהאוז, חולון,[' גרין ועם'],0,4.4,5,6,160,"2,890,000 ₪"
0,1,1,1,1,0,0,1,0,0,0,ללא,1,1,משופץ,דירה, חולון,[' תל גיבורים'],0,4.5,4,1,78,"1,750,000 ₪"
0,0,0,0,0,0,1,0,1,0,0,1,2,7,במצב שמור,דירה, חולון,[' נאות רחל'],0,"4
מ",6,1,120,"2,400,000 ₪"
0,1,0,0,1,1,0,1,0,0,0,1,2,2,משופץ,גג/פנטהאוז, חולון,[' תל גיבורים'],0,4.5,4,2,113,"2,300,000 ₪"
0,1,0,0,0,0,0,1,0,1,1,ללא,1,3,משופץ,דירה, חולון,[' תל גיבורים'],0,4.5,3,1,60,"1,420,000 ₪"
0,1,0,1,1,0,0,1,0,0,1,1,,3,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",3.5,1,90,"1,749,000 ₪"
0,1,0,1,1,0,0,1,0,0,0,1,,4,משופץ,דירה, חולון,[' קרית שרת מערב'],0,4.4,3,4,60,"1,480,000 ₪"
0,1,0,1,0,0,0,1,0,1,0,ללא,,3,משופץ,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,2.5,3,60,"1,380,000 ₪"
0,1,0,0,1,0,1,1,1,0,0,2,,9,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",3.5,7,87,"1,690,000 ₪"
0,1,0,0,1,0,0,1,0,0,1,ללא,,4,במצב שמור,דירה, חולון,"["" רסקו א'""]",0,"4
מ",3,4,74,"1,420,000 ₪"
0,1,0,0,0,0,1,1,1,0,0,ללא,,4,משופץ,דירה, חולון,[' גרין ועם'],0,4.4,3,4,75,"1,550,000 ₪"
0,0,0,0,0,0,0,1,0,0,1,ללא,,4,במצב שמור,דירה, חולון,[' נווה רמז'],0,4.3,4,4,85,"1,490,000 ₪"
,1,1,1,1,0,1,1,1,0,0,1,1,6,במצב שמור,,,,1,"4
מ",,,,
,1,0,0,1,0,1,1,1,0,1,ללא,,6,משופץ,דירה, חולון,[' גרין ועם'],1,4.4,3,4,66,"1,495,000 ₪"
,1,1,0,1,1,1,1,1,1,1,1,1,6,משופץ,דירה, חולון,[' קרית אילון'],1,3.9,5,5,120,"2,640,000 ₪"
,0,1,1,0,0,1,1,1,0,0,1,2,6,חדש מקבלן,דירה, חולון,[' נאות רחל'],1,"4
מ",4,5,92,"1,870,000 ₪"
,1,1,1,1,0,1,1,1,1,0,1,1,9,חדש,דירה, חולון,[' קרית אילון'],1,3.9,5,4,120,"2,690,000 ₪"
,1,1,1,1,0,1,1,1,1,1,3,1,18,חדש,גג/פנטהאוז, חולון,[' קרית אילון'],1,3.9,6,18,150,"3,950,000 ₪"
,1,1,1,1,1,1,1,1,1,1,2,1,12,משופץ,דירה, חולון,[' קרית אילון'],1,3.9,5,5,122,"2,450,000 ₪"
,1,1,1,1,1,1,1,1,1,1,ללא,1,4,במצב שמור,דירה, חולון,[' נאות רחל'],1,"4
מ",3,3,72,"1,295,000 ₪"
,0,0,0,0,0,0,1,0,0,1,1,,3,במצב שמור,דירה, חולון,[' גרין ועם'],1,4.4,3.5,2,75,"1,520,000 ₪"
,1,0,0,0,0,0,1,0,0,0,ללא,,3,משופץ,דירה, חולון,[' אגרובנק'],1,"4
מ",4,3,85,"1,640,000 ₪"
,1,0,0,1,0,1,1,0,0,1,ללא,1,,משופץ,פרטי/קוטג', חולון,[' מפדה אזרחי'],1,4.1,6,קרקע,330,"3,490,000 ₪"
,1,0,1,1,0,1,1,1,0,1,1,1,4,משופץ,דירה, חולון,[],1,"4
מ",3,4,65,"1,450,000 ₪"
,1,0,1,1,0,0,1,0,0,1,ללא,,4,משופץ,דירה, חולון,[' תל גיבורים'],1,4.5,3,2,55,"1,290,000 ₪"
,1,1,1,0,0,1,0,1,0,0,1,1,7,חדש מקבלן,דירת גן, חולון,[' קרית שרת מערב'],1,4.4,4,קרקע,80,"1,900,000 ₪"
,1,0,1,0,0,0,1,0,0,0,ללא,,3,משופץ,דירה, חולון,"["" רסקו א'""]",1,"4
מ",4,1,85,"1,560,000 ₪"
,0,1,0,0,0,0,1,0,0,0,3,1,3,במצב שמור,גג/פנטהאוז, חולון,[],1,4.4,6,2,140,"1,720,000 ₪"
,0,1,1,0,0,1,0,1,1,0,2,1,24,חדש מקבלן,דופלקס, חולון,[' קרית אילון'],1,3.9,5.5,22,170,"4,500,000 ₪"
,1,0,1,1,0,1,1,1,0,0,1,,6,משופץ,דירה, חולון,[' נאות רחל'],1,"4
מ",4.5,1,110,"1,850,000 ₪"
,0,1,1,0,0,1,0,1,1,0,1,1,7,חדש מקבלן,דירה, חולון,[' אגרובנק'],1,"4
מ",4,2,96,"2,150,000 ₪"
1,0,0,0,1,1,0,1,1,0,1,1,,7,במצב שמור,דירה, חולון,[' בן גוריון'],0,"4
מ",5,6,110,"2,100,000 ₪"
0,1,1,0,0,0,1,0,0,1,1,ללא,,,משופץ,דירת גן, חולון,[' נאות שושנים'],0,4.5,2,קרקע,115,"1,685,000 ₪"
0,1,0,0,0,1,0,1,0,0,1,ללא,,4,משופץ,דירה, חולון,[' גרין ועם'],0,4.4,3.5,3,83,"1,550,000 ₪"
0,1,0,0,1,0,1,1,1,0,0,1,3,5,משופץ,גג/פנטהאוז, חולון,[' בן גוריון'],0,"4
מ",5,5,130,"2,890,000 ₪"
0,0,0,0,1,1,0,1,0,0,0,ללא,1,2,במצב שמור,דופלקס, חולון,[' תל גיבורים'],0,4.5,4,1,80,"1,850,000 ₪"
0,1,1,0,0,1,0,1,1,1,1,1,1,8,משופץ,דירה, חולון,[' קרית אילון'],0,3.9,5,2,120,"2,830,000 ₪"
0,1,0,0,0,1,0,1,1,0,1,ללא,,9,משופץ,דירה, חולון,[' קרית שרת מערב'],0,4.4,4.5,7,90,"1,670,000 ₪"
0,1,0,1,0,1,1,1,1,0,0,ללא,,9,משופץ,דירה, חולון,[' קרית שרת מזרח'],0,4.5,4,6,90,"1,900,000 ₪"
0,1,1,1,0,1,1,1,1,1,1,1,1,14,משופץ,דירה, חולון,[' קרית אילון'],0,3.9,5,11,100,"2,600,000 ₪"
0,1,0,1,1,0,0,1,0,1,0,1,1,3,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",4,3,87,לא צוין מחיר
0,1,1,1,1,1,0,1,1,1,0,1,1,17,חדש,דירה, חולון,[' קרית אילון'],0,3.9,5,2,115,"2,950,000 ₪"
0,1,1,0,0,0,1,1,1,0,0,1,,4,משופץ,דירה, חולון,[' גרין ועם'],0,4.4,3,3,60,"1,570,000 ₪"
0,1,1,1,1,1,1,1,1,0,0,1,1,9,משופץ,דירה, חולון,[' גרין ועם'],0,4.4,4,4,103,"2,450,000 ₪"
0,1,0,0,0,0,0,1,0,0,0,1,,2,משופץ,דירה, חולון,[' תל גיבורים'],0,4.5,4,1,85,"1,690,000 ₪"
0,0,0,0,0,0,0,1,0,0,0,ללא,,3,במצב שמור,דירה, חולון,[' נאות רחל'],0,"4
מ",3.5,3,67,"1,290,000 ₪"
1,1,1,1,1,1,0,1,0,1,1,ללא,,3,משופץ,דירה, חולון,[' תל גיבורים'],0,4.5,2.5,1,50,"1,200,000 ₪"
0,1,0,1,0,0,0,1,1,0,1,ללא,1,4,משופץ,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,3,4,70,"1,500,000 ₪"
0,0,0,0,0,0,0,1,0,0,0,ללא,2,4,במצב שמור,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,2.5,1,50,לא צוין מחיר
,1,1,1,1,0,1,1,1,0,0,1,1,6,במצב שמור,,,,1,"4
מ",,,,
,0,1,0,0,0,0,1,0,0,0,3,1,3,במצב שמור,גג/פנטהאוז, חולון,[],1,4.4,6,2,140,"1,720,000 ₪"
,1,0,1,1,0,1,1,1,0,0,1,,6,משופץ,דירה, חולון,[' נאות רחל'],1,"4
מ",4.5,1,110,"1,850,000 ₪"
,0,1,1,0,0,1,0,1,1,0,1,1,7,חדש מקבלן,דירה, חולון,[' אגרובנק'],1,"4
מ",4,2,96,"2,150,000 ₪"
,1,0,1,1,1,0,1,0,0,1,1,1,4,משופץ,דירה, חולון,[' נאות רחל'],1,"4
מ",4,2,88,"1,499,999 ₪"
,0,1,1,0,0,1,0,1,1,0,2,1,24,חדש מקבלן,דופלקס, חולון,[' קרית אילון'],1,3.9,5.5,22,170,"4,500,000 ₪"
,1,0,1,1,0,0,1,0,0,1,2,,3,משופץ,דירה, חולון,[' אגרובנק'],1,"4
מ",4,2,100,"2,060,000 ₪"
,1,0,0,0,1,0,1,0,0,0,1,3,3,משופץ,דירה, חולון,[' אגרובנק'],1,"4
מ",4.5,2,115,"1,690,000 ₪"
,1,0,0,0,0,1,1,1,0,0,1,,7,משופץ,דירה, חולון,[' תל גיבורים'],1,4.5,5,2,100,"2,030,000 ₪"
,0,1,0,0,0,1,1,1,0,0,1,1,8,במצב שמור,דירה, חולון,[' תל גיבורים'],1,4.5,4,3,100,"1,800,000 ₪"
,1,0,0,1,0,1,1,0,0,1,ללא,,4,משופץ,דירת גן, חולון,"[' מרכז', ' קרית עבודה']",1,4.3,3.5,קרקע,145,"1,690,000 ₪"
,0,1,1,0,0,1,1,1,1,0,2,2,9,חדש מקבלן,גג/פנטהאוז, חולון,[' קרית רבין'],1,3.6,5,8,117,"3,100,000 ₪"
